server,jreVersion,tcNativeVersion,clientAuth,serverCert,clientCert,cipherSet,resumption,connections/30s
tls-tomcat,1.8,-,need,server-4096,client-4096,-,new,1059
tls-tomcat,1.8,-,need,server-4096,client-4096,-,reuse,1056
tls-tomcat,1.8,-,need,server-4096,client-2048,-,new,1203
tls-tomcat,1.8,-,need,server-4096,client-2048,-,reuse,1216
tls-tomcat,1.8,-,need,server-4096,client-3072,-,new,1162
tls-tomcat,1.8,-,need,server-4096,client-3072,-,reuse,1159
tls-tomcat,1.8,-,need,server-2048,client-4096,-,new,2822
tls-tomcat,1.8,-,need,server-2048,client-4096,-,reuse,2835
tls-tomcat,1.8,-,need,server-2048,client-2048,-,new,4188
tls-tomcat,1.8,-,need,server-2048,client-2048,-,reuse,4191
tls-tomcat,1.8,-,need,server-2048,client-3072,-,new,3573
tls-tomcat,1.8,-,need,server-2048,client-3072,-,reuse,3311
tls-tomcat,1.8,-,want,server-4096,client-4096,-,new,1073
tls-tomcat,1.8,-,want,server-4096,client-4096,-,reuse,1071
tls-tomcat,1.8,-,want,server-4096,client-2048,-,new,1220
tls-tomcat,1.8,-,want,server-4096,client-2048,-,reuse,1217
tls-tomcat,1.8,-,want,server-4096,client-3072,-,new,1164
tls-tomcat,1.8,-,want,server-4096,client-3072,-,reuse,1159
tls-tomcat,1.8,-,want,server-4096,none,-,new,1231
tls-tomcat,1.8,-,want,server-4096,none,-,reuse,1264
tls-tomcat,1.8,-,want,server-2048,client-4096,-,new,2851
tls-tomcat,1.8,-,want,server-2048,client-4096,-,reuse,2848
tls-tomcat,1.8,-,want,server-2048,client-2048,-,new,4175
tls-tomcat,1.8,-,want,server-2048,client-2048,-,reuse,4184
tls-tomcat,1.8,-,want,server-2048,client-3072,-,new,3585
tls-tomcat,1.8,-,want,server-2048,client-3072,-,reuse,3556
tls-tomcat,1.8,-,want,server-2048,none,-,new,4625
tls-tomcat,1.8,-,want,server-2048,none,-,reuse,4740
tls-tomcat,1.8,1.2.17,need,server-4096,client-4096,-,new,3367
tls-tomcat,1.8,1.2.17,need,server-4096,client-4096,-,reuse,55665
tls-tomcat,1.8,1.2.17,need,server-4096,client-2048,-,new,5289
tls-tomcat,1.8,1.2.17,need,server-4096,client-2048,-,reuse,55629
tls-tomcat,1.8,1.2.17,need,server-4096,client-3072,-,new,4404
tls-tomcat,1.8,1.2.17,need,server-4096,client-3072,-,reuse,55596
tls-tomcat,1.8,1.2.17,need,server-2048,client-4096,-,new,5290
tls-tomcat,1.8,1.2.17,need,server-2048,client-4096,-,reuse,54990
tls-tomcat,1.8,1.2.17,need,server-2048,client-2048,-,new,11981
tls-tomcat,1.8,1.2.17,need,server-2048,client-2048,-,reuse,55753
tls-tomcat,1.8,1.2.17,need,server-2048,client-3072,-,new,8264
tls-tomcat,1.8,1.2.17,need,server-2048,client-3072,-,reuse,55221
tls-tomcat,1.8,1.2.17,want,server-4096,client-4096,-,new,3379
tls-tomcat,1.8,1.2.17,want,server-4096,client-4096,-,reuse,55184
tls-tomcat,1.8,1.2.17,want,server-4096,client-2048,-,new,5162
tls-tomcat,1.8,1.2.17,want,server-4096,client-2048,-,reuse,55577
tls-tomcat,1.8,1.2.17,want,server-4096,client-3072,-,new,4380
tls-tomcat,1.8,1.2.17,want,server-4096,client-3072,-,reuse,55339
tls-tomcat,1.8,1.2.17,want,server-4096,none,-,new,6114
tls-tomcat,1.8,1.2.17,want,server-4096,none,-,reuse,58777
tls-tomcat,1.8,1.2.17,want,server-2048,client-4096,-,new,5290
tls-tomcat,1.8,1.2.17,want,server-2048,client-4096,-,reuse,54548
tls-tomcat,1.8,1.2.17,want,server-2048,client-2048,-,new,11980
tls-tomcat,1.8,1.2.17,want,server-2048,client-2048,-,reuse,55470
tls-tomcat,1.8,1.2.17,want,server-2048,client-3072,-,new,8259
tls-tomcat,1.8,1.2.17,want,server-2048,client-3072,-,reuse,55245
tls-tomcat,1.8,1.2.17,want,server-2048,none,-,new,17648
tls-tomcat,1.8,1.2.17,want,server-2048,none,-,reuse,58753
tls-tomcat,10,-,need,server-4096,client-4096,-,new,1648
tls-tomcat,10,-,need,server-4096,client-4096,-,reuse,1656
tls-tomcat,10,-,need,server-4096,client-2048,-,new,2034
tls-tomcat,10,-,need,server-4096,client-2048,-,reuse,2020
tls-tomcat,10,-,need,server-4096,client-3072,-,new,1875
tls-tomcat,10,-,need,server-4096,client-3072,-,reuse,1879
tls-tomcat,10,-,need,server-2048,client-4096,-,new,3269
tls-tomcat,10,-,need,server-2048,client-4096,-,reuse,3309
tls-tomcat,10,-,need,server-2048,client-2048,-,new,5290
tls-tomcat,10,-,need,server-2048,client-2048,-,reuse,5303
tls-tomcat,10,-,need,server-2048,client-3072,-,new,4324
tls-tomcat,10,-,need,server-2048,client-3072,-,reuse,4345
tls-tomcat,10,-,want,server-4096,client-4096,-,new,1663
