server,jreVersion,tcNativeVersion,clientAuth,serverCert,clientCert,cipher,resumption,enabledExtendedMasterSecret,connection/30s
tls-tomcat,1.8,-,need,server,client,-,new,false,1066
tls-tomcat,1.8,-,need,server,client,-,reuse,false,36224
tls-tomcat,1.8,-,need,server,client-2048,-,new,false,1220
tls-tomcat,1.8,-,need,server,client-3072,-,new,false,1158
tls-tomcat,1.8,-,need,server-2048,client,-,new,false,2821
tls-tomcat,1.8,-,need,server-2048,client,-,reuse,false,36427
tls-tomcat,1.8,-,need,server-2048,client-2048,-,new,false,4083
tls-tomcat,1.8,-,need,server-2048,client-3072,-,new,false,3502
tls-tomcat,1.8,-,want,server,client,-,new,false,1075
tls-tomcat,1.8,-,want,server,client-2048,-,new,false,1214
tls-tomcat,1.8,-,want,server,client-3072,-,new,false,1165
tls-tomcat,1.8,-,want,server,client-3072,-,reuse,false,35968
tls-tomcat,1.8,-,want,server,none,-,new,false,1252
tls-tomcat,1.8,-,want,server,none,-,reuse,false,35918
tls-tomcat,1.8,-,want,server-2048,client,-,new,false,2701
tls-tomcat,1.8,-,want,server-2048,client,-,reuse,false,33421
tls-tomcat,1.8,-,want,server-2048,client-2048,-,new,false,3858
tls-tomcat,1.8,-,want,server-2048,client-2048,-,reuse,false,33918
tls-tomcat,1.8,-,want,server-2048,client-3072,-,new,false,3490
tls-tomcat,1.8,-,want,server-2048,client-3072,-,reuse,false,34205
tls-tomcat,1.8,-,want,server-2048,none,-,new,false,4518
tls-tomcat,1.8,-,want,server-2048,none,-,reuse,false,33206
tls-tomcat,1.8,1.2.17-openssl-1.0.2,need,server,client,-,new,false,3260
tls-tomcat,1.8,1.2.17-openssl-1.0.2,need,server,client,-,new,true,3180
tls-tomcat,1.8,1.2.17-openssl-1.0.2,need,server,client,-,reuse,false,42274
tls-tomcat,1.8,1.2.17-openssl-1.0.2,need,server,client-2048,-,new,false,5086
tls-tomcat,1.8,1.2.17-openssl-1.0.2,need,server,client-2048,-,reuse,false,41599
tls-tomcat,1.8,1.2.17-openssl-1.0.2,need,server,client-3072,-,new,false,4251
tls-tomcat,1.8,1.2.17-openssl-1.0.2,need,server,client-3072,-,reuse,false,41385
tls-tomcat,1.8,1.2.17-openssl-1.0.2,need,server-2048,client,-,new,false,5118
tls-tomcat,1.8,1.2.17-openssl-1.0.2,need,server-2048,client,-,reuse,false,16379
tls-tomcat,1.8,1.2.17-openssl-1.0.2,need,server-2048,client-2048,-,new,false,10914
tls-tomcat,1.8,1.2.17-openssl-1.0.2,need,server-2048,client-2048,-,reuse,false,41859
tls-tomcat,1.8,1.2.17-openssl-1.0.2,need,server-2048,client-3072,-,new,false,7681
tls-tomcat,1.8,1.2.17-openssl-1.0.2,need,server-2048,client-3072,-,reuse,false,16380
tls-tomcat,1.8,1.2.17-openssl-1.0.2,want,server,client,-,new,false,3317
tls-tomcat,1.8,1.2.17-openssl-1.0.2,want,server,client,-,reuse,false,16381
tls-tomcat,1.8,1.2.17-openssl-1.0.2,want,server,client-2048,-,new,false,5087
tls-tomcat,1.8,1.2.17-openssl-1.0.2,want,server,client-2048,-,reuse,false,42568
tls-tomcat,1.8,1.2.17-openssl-1.0.2,want,server,client-3072,-,new,false,4272
tls-tomcat,1.8,1.2.17-openssl-1.0.2,want,server,client-3072,-,reuse,false,16381
tls-tomcat,1.8,1.2.17-openssl-1.0.2,want,server,none,-,new,false,5952
tls-tomcat,1.8,1.2.17-openssl-1.0.2,want,server,none,-,reuse,false,44306
tls-tomcat,1.8,1.2.17-openssl-1.0.2,want,server-2048,client,-,new,false,5128
tls-tomcat,1.8,1.2.17-openssl-1.0.2,want,server-2048,client,-,reuse,false,41974
tls-tomcat,1.8,1.2.17-openssl-1.0.2,want,server-2048,client-2048,-,new,false,10929
tls-tomcat,1.8,1.2.17-openssl-1.0.2,want,server-2048,client-2048,-,reuse,false,16380
tls-tomcat,1.8,1.2.17-openssl-1.0.2,want,server-2048,client-3072,-,new,false,7709
tls-tomcat,1.8,1.2.17-openssl-1.0.2,want,server-2048,client-3072,-,reuse,false,16380
tls-tomcat,1.8,1.2.17-openssl-1.0.2,want,server-2048,none,-,new,false,15724
tls-tomcat,1.8,1.2.17-openssl-1.0.2,want,server-2048,none,-,reuse,false,44215
tls-tomcat,1.8,1.2.17-openssl-1.1.1,need,server,client,-,new,false,3344
tls-tomcat,1.8,1.2.17-openssl-1.1.1,need,server,client,-,reuse,false,40239
tls-tomcat,1.8,1.2.17-openssl-1.1.1,need,server,client-2048,-,new,false,5128
tls-tomcat,1.8,1.2.17-openssl-1.1.1,need,server,client-2048,-,reuse,false,40060
tls-tomcat,1.8,1.2.17-openssl-1.1.1,need,server,client-3072,-,new,false,4305
tls-tomcat,1.8,1.2.17-openssl-1.1.1,need,server,client-3072,-,reuse,false,16381
tls-tomcat,1.8,1.2.17-openssl-1.1.1,need,server-2048,client,-,new,false,5151
tls-tomcat,1.8,1.2.17-openssl-1.1.1,need,server-2048,client,-,reuse,false,39974
tls-tomcat,1.8,1.2.17-openssl-1.1.1,need,server-2048,client-2048,-,new,false,10997
tls-tomcat,1.8,1.2.17-openssl-1.1.1,need,server-2048,client-2048,-,reuse,false,39145
tls-tomcat,1.8,1.2.17-openssl-1.1.1,need,server-2048,client-3072,-,new,false,7808
tls-tomcat,1.8,1.2.17-openssl-1.1.1,want,server,client,-,new,false,3335
tls-tomcat,1.8,1.2.17-openssl-1.1.1,want,server,client-2048,-,new,false,5156
tls-tomcat,1.8,1.2.17-openssl-1.1.1,want,server,client-2048,-,reuse,false,16379
tls-tomcat,1.8,1.2.17-openssl-1.1.1,want,server,client-3072,-,new,false,4305
tls-tomcat,1.8,1.2.17-openssl-1.1.1,want,server,client-3072,-,reuse,false,40220
tls-tomcat,1.8,1.2.17-openssl-1.1.1,want,server,none,-,new,false,6052
tls-tomcat,1.8,1.2.17-openssl-1.1.1,want,server,none,-,reuse,false,41687
tls-tomcat,1.8,1.2.17-openssl-1.1.1,want,server-2048,client,-,new,false,5153
tls-tomcat,1.8,1.2.17-openssl-1.1.1,want,server-2048,client,-,reuse,false,41032
tls-tomcat,1.8,1.2.17-openssl-1.1.1,want,server-2048,client-2048,-,new,false,11017
tls-tomcat,1.8,1.2.17-openssl-1.1.1,want,server-2048,client-2048,-,reuse,false,40433
tls-tomcat,1.8,1.2.17-openssl-1.1.1,want,server-2048,client-3072,-,new,false,7862
tls-tomcat,1.8,1.2.17-openssl-1.1.1,want,server-2048,client-3072,-,reuse,false,40486
tls-tomcat,1.8,1.2.17-openssl-1.1.1,want,server-2048,none,-,new,false,15871
tls-tomcat,1.8,1.2.17-openssl-1.1.1,want,server-2048,none,-,reuse,false,16381
tls-tomcat,10,-,need,server,client,-,new,false,1555
tls-tomcat,10,-,need,server,client,-,reuse,false,19400
tls-tomcat,10,-,need,server,client-2048,-,new,false,1885
tls-tomcat,10,-,need,server,client-2048,-,reuse,false,19527
tls-tomcat,10,-,need,server,client-3072,-,new,false,1864
