server,jreVersion,tcNativeVersion,clientAuth,serverCert,clientCert,ciphers,resumption,enableExtendedMasterSecret,connections/30s
tls-tomcat,1.8,-,need,server,client,-,new,false,1072
tls-tomcat,1.8,-,need,server,client,-,reuse,false,33812
tls-tomcat,1.8,-,need,server,client-2048,-,new,false,1216
tls-tomcat,1.8,-,need,server,client-3072,-,new,false,1162
tls-tomcat,1.8,-,need,server-2048,client,-,new,false,2794
tls-tomcat,1.8,-,need,server-2048,client,-,reuse,false,33714
tls-tomcat,1.8,-,need,server-2048,client-2048,-,new,false,4066
tls-tomcat,1.8,-,need,server-2048,client-3072,-,new,false,3473
tls-tomcat,1.8,-,need,server-2048,client-3072,-,reuse,false,33806
tls-tomcat,1.8,-,want,server,client,-,new,false,1073
tls-tomcat,1.8,-,want,server,client-2048,-,new,false,1215
tls-tomcat,1.8,-,want,server,client-2048,-,reuse,false,33340
tls-tomcat,1.8,-,want,server,client-3072,-,new,false,1158
tls-tomcat,1.8,-,want,server,none,-,new,false,1259
tls-tomcat,1.8,-,want,server-2048,client,-,new,false,2804
tls-tomcat,1.8,-,want,server-2048,client,-,reuse,false,33932
tls-tomcat,1.8,-,want,server-2048,client-2048,-,new,false,4062
tls-tomcat,1.8,-,want,server-2048,client-2048,-,reuse,false,33619
tls-tomcat,1.8,-,want,server-2048,client-3072,-,new,false,3474
tls-tomcat,1.8,-,want,server-2048,none,-,new,false,4558
tls-tomcat,1.8,1.2.17-openssl-1.0.2,need,server,client,-,new,false,3319
tls-tomcat,1.8,1.2.17-openssl-1.0.2,need,server,client,-,new,true,3203
tls-tomcat,1.8,1.2.17-openssl-1.0.2,need,server,client,-,reuse,false,16382
tls-tomcat,1.8,1.2.17-openssl-1.0.2,need,server,client-2048,-,new,false,5096
tls-tomcat,1.8,1.2.17-openssl-1.0.2,need,server,client-2048,-,reuse,false,42051
tls-tomcat,1.8,1.2.17-openssl-1.0.2,need,server,client-3072,-,new,false,4087
tls-tomcat,1.8,1.2.17-openssl-1.0.2,need,server-2048,client,-,new,false,5112
tls-tomcat,1.8,1.2.17-openssl-1.0.2,need,server-2048,client-2048,-,new,false,10834
tls-tomcat,1.8,1.2.17-openssl-1.0.2,need,server-2048,client-3072,-,new,false,7677
tls-tomcat,1.8,1.2.17-openssl-1.0.2,need,server-2048,client-3072,-,reuse,false,16381
tls-tomcat,1.8,1.2.17-openssl-1.0.2,want,server,client,-,new,false,3318
tls-tomcat,1.8,1.2.17-openssl-1.0.2,want,server,client,-,reuse,false,16379
tls-tomcat,1.8,1.2.17-openssl-1.0.2,want,server,client-2048,-,new,false,5018
tls-tomcat,1.8,1.2.17-openssl-1.0.2,want,server,client-2048,-,reuse,false,40281
tls-tomcat,1.8,1.2.17-openssl-1.0.2,want,server,client-3072,-,new,false,4240
tls-tomcat,1.8,1.2.17-openssl-1.0.2,want,server,client-3072,-,reuse,false,16381
tls-tomcat,1.8,1.2.17-openssl-1.0.2,want,server,none,-,new,false,5923
tls-tomcat,1.8,1.2.17-openssl-1.0.2,want,server,none,-,reuse,false,42136
tls-tomcat,1.8,1.2.17-openssl-1.0.2,want,server-2048,client,-,new,false,5028
tls-tomcat,1.8,1.2.17-openssl-1.0.2,want,server-2048,client,-,reuse,false,40596
tls-tomcat,1.8,1.2.17-openssl-1.0.2,want,server-2048,client-2048,-,new,false,10871
tls-tomcat,1.8,1.2.17-openssl-1.0.2,want,server-2048,client-2048,-,reuse,false,40531
tls-tomcat,1.8,1.2.17-openssl-1.0.2,want,server-2048,client-3072,-,new,false,7685
tls-tomcat,1.8,1.2.17-openssl-1.0.2,want,server-2048,client-3072,-,reuse,false,16381
tls-tomcat,1.8,1.2.17-openssl-1.0.2,want,server-2048,none,-,new,false,15530
tls-tomcat,1.8,1.2.17-openssl-1.0.2,want,server-2048,none,-,reuse,false,16381
tls-tomcat,1.8,1.2.17-openssl-1.1.1,need,server,client,-,new,false,3293
tls-tomcat,1.8,1.2.17-openssl-1.1.1,need,server,client-2048,-,new,false,5074
tls-tomcat,1.8,1.2.17-openssl-1.1.1,need,server,client-3072,-,new,false,4262
tls-tomcat,1.8,1.2.17-openssl-1.1.1,need,server,client-3072,-,reuse,false,38562
