server,jreVersion,tcNativeVersion,clientAuth,serverCert,clientCert,cipher,resumption,enabledExtendedMasterSecret,page,connectionsTotal,seconds,bytes/connection
tls-tomcat,1.8,-,need,server,client,-,new,false,-,1063,31,0
tls-tomcat,1.8,-,need,server,client,-,new,false,huge,16,31,104857740
tls-tomcat,1.8,-,need,server,client,-,new,false,large,141,31,10485899
tls-tomcat,1.8,-,need,server,client,-,new,false,medium,806,31,524425
tls-tomcat,1.8,-,need,server,client,-,new,false,small,1047,31,10376
tls-tomcat,1.8,-,need,server,client,-,reuse,false,-,16377,34,0
tls-tomcat,1.8,-,need,server,client,-,reuse,false,huge,16,31,104857740
tls-tomcat,1.8,-,need,server,client,-,reuse,false,large,159,31,10485899
tls-tomcat,1.8,-,need,server,client,-,reuse,false,medium,2832,31,524425
tls-tomcat,1.8,-,need,server,client,-,reuse,false,small,19025,31,10376
tls-tomcat,1.8,-,need,server,client-2048,-,new,false,-,1220,31,0
tls-tomcat,1.8,-,need,server,client-2048,-,new,false,huge,16,31,104857740
tls-tomcat,1.8,-,need,server,client-2048,-,new,false,large,143,31,10485899
tls-tomcat,1.8,-,need,server,client-2048,-,new,false,medium,883,31,524425
tls-tomcat,1.8,-,need,server,client-2048,-,new,false,small,1187,31,10376
tls-tomcat,1.8,-,need,server,client-2048,-,reuse,false,-,16376,34,0
tls-tomcat,1.8,-,need,server,client-2048,-,reuse,false,huge,17,32,104857740
tls-tomcat,1.8,-,need,server,client-2048,-,reuse,false,large,159,31,10485899
tls-tomcat,1.8,-,need,server,client-2048,-,reuse,false,medium,2835,31,524425
tls-tomcat,1.8,-,need,server,client-2048,-,reuse,false,small,18954,31,10376
tls-tomcat,1.8,-,need,server-2048,client,-,new,false,-,2827,31,0
tls-tomcat,1.8,-,need,server-2048,client,-,new,false,huge,17,32,104857740
tls-tomcat,1.8,-,need,server-2048,client,-,new,false,large,154,31,10485899
tls-tomcat,1.8,-,need,server-2048,client,-,new,false,medium,1496,31,524425
tls-tomcat,1.8,-,need,server-2048,client,-,new,false,small,2651,31,10376
tls-tomcat,1.8,-,need,server-2048,client,-,reuse,false,-,34964,31,0
tls-tomcat,1.8,-,need,server-2048,client,-,reuse,false,huge,17,32,104857740
tls-tomcat,1.8,-,need,server-2048,client,-,reuse,false,large,161,31,10485899
tls-tomcat,1.8,-,need,server-2048,client,-,reuse,false,medium,2846,31,524425
tls-tomcat,1.8,-,need,server-2048,client,-,reuse,false,small,18805,31,10376
tls-tomcat,1.8,-,need,server-2048,client-2048,-,new,false,-,3991,31,0
tls-tomcat,1.8,-,need,server-2048,client-2048,-,new,false,huge,17,32,104857740
tls-tomcat,1.8,-,need,server-2048,client-2048,-,new,false,large,156,31,10485899
tls-tomcat,1.8,-,need,server-2048,client-2048,-,new,false,medium,1795,31,524425
tls-tomcat,1.8,-,need,server-2048,client-2048,-,new,false,small,3741,31,10376
tls-tomcat,1.8,-,need,server-2048,client-2048,-,reuse,false,-,16378,35,0
tls-tomcat,1.8,-,need,server-2048,client-2048,-,reuse,false,huge,17,32,104857740
tls-tomcat,1.8,-,need,server-2048,client-2048,-,reuse,false,large,159,31,10485899
tls-tomcat,1.8,-,need,server-2048,client-2048,-,reuse,false,medium,2830,31,524425
tls-tomcat,1.8,-,need,server-2048,client-2048,-,reuse,false,small,18976,31,10376
tls-tomcat,1.8,1.2.17-openssl-1.0.2,need,server,client,-,new,false,-,3080,31,0
tls-tomcat,1.8,1.2.17-openssl-1.0.2,need,server,client,-,new,false,huge,181,31,104857740
tls-tomcat,1.8,1.2.17-openssl-1.0.2,need,server,client,-,new,false,large,1178,31,10485899
tls-tomcat,1.8,1.2.17-openssl-1.0.2,need,server,client,-,new,false,medium,2705,31,524425
tls-tomcat,1.8,1.2.17-openssl-1.0.2,need,server,client,-,new,false,small,2807,31,10376
tls-tomcat,1.8,1.2.17-openssl-1.0.2,need,server,client,-,new,true,-,813,85,0
tls-tomcat,1.8,1.2.17-openssl-1.0.2,need,server,client,-,new,true,huge,177,31,104857740
tls-tomcat,1.8,1.2.17-openssl-1.0.2,need,server,client,-,new,true,large,1108,31,10485899
tls-tomcat,1.8,1.2.17-openssl-1.0.2,need,server,client,-,new,true,medium,2485,31,524425
tls-tomcat,1.8,1.2.17-openssl-1.0.2,need,server,client,-,new,true,small,272,79,10376
tls-tomcat,1.8,1.2.17-openssl-1.0.2,need,server,client,-,reuse,false,-,40899,31,0
tls-tomcat,1.8,1.2.17-openssl-1.0.2,need,server,client,-,reuse,false,huge,5,61,83886192
tls-tomcat,1.8,1.2.17-openssl-1.0.2,need,server,client,-,reuse,false,large,6,60,8738249
tls-tomcat,1.8,1.2.17-openssl-1.0.2,need,server,client,-,reuse,false,medium,4,60,393318
tls-tomcat,1.8,1.2.17-openssl-1.0.2,need,server,client,-,reuse,false,small,3,60,6917
tls-tomcat,1.8,1.2.17-openssl-1.0.2,need,server,client-2048,-,new,false,-,1731,86,0
tls-tomcat,1.8,1.2.17-openssl-1.0.2,need,server,client-2048,-,new,false,huge,189,31,104857740
tls-tomcat,1.8,1.2.17-openssl-1.0.2,need,server,client-2048,-,new,false,large,1410,31,10485899
tls-tomcat,1.8,1.2.17-openssl-1.0.2,need,server,client-2048,-,new,false,medium,4255,31,524425
tls-tomcat,1.8,1.2.17-openssl-1.0.2,need,server,client-2048,-,new,false,small,4492,31,10376
tls-tomcat,1.8,1.2.17-openssl-1.0.2,need,server,client-2048,-,reuse,false,-,41211,31,0
tls-tomcat,1.8,1.2.17-openssl-1.0.2,need,server,client-2048,-,reuse,false,huge,7,61,89878062
tls-tomcat,1.8,1.2.17-openssl-1.0.2,need,server,client-2048,-,reuse,false,large,5,60,8388719
tls-tomcat,1.8,1.2.17-openssl-1.0.2,need,server,client-2048,-,reuse,false,medium,19,60,496823
tls-tomcat,1.8,1.2.17-openssl-1.0.2,need,server,client-2048,-,reuse,false,small,3,60,6917
tls-tomcat,1.8,1.2.17-openssl-1.0.2,need,server-2048,client,-,new,false,-,5070,31,0
tls-tomcat,1.8,1.2.17-openssl-1.0.2,need,server-2048,client,-,new,false,huge,193,31,104857740
tls-tomcat,1.8,1.2.17-openssl-1.0.2,need,server-2048,client,-,new,false,large,1392,31,10485899
tls-tomcat,1.8,1.2.17-openssl-1.0.2,need,server-2048,client,-,new,false,medium,4306,31,524425
tls-tomcat,1.8,1.2.17-openssl-1.0.2,need,server-2048,client,-,new,false,small,4599,31,10376
tls-tomcat,1.8,1.2.17-openssl-1.0.2,need,server-2048,client,-,reuse,false,-,39092,31,0
tls-tomcat,1.8,1.2.17-openssl-1.0.2,need,server-2048,client,-,reuse,false,huge,1,60,0
tls-tomcat,1.8,1.2.17-openssl-1.0.2,need,server-2048,client,-,reuse,false,large,5,60,8388719
tls-tomcat,1.8,1.2.17-openssl-1.0.2,need,server-2048,client,-,reuse,false,medium,3,60,349616
tls-tomcat,1.8,1.2.17-openssl-1.0.2,need,server-2048,client,-,reuse,false,small,3,60,6917
tls-tomcat,1.8,1.2.17-openssl-1.0.2,need,server-2048,client-2048,-,new,false,-,10878,31,0
tls-tomcat,1.8,1.2.17-openssl-1.0.2,need,server-2048,client-2048,-,new,false,huge,199,31,104857740
tls-tomcat,1.8,1.2.17-openssl-1.0.2,need,server-2048,client-2048,-,new,false,large,1640,31,10485899
tls-tomcat,1.8,1.2.17-openssl-1.0.2,need,server-2048,client-2048,-,new,false,medium,7860,31,524425
tls-tomcat,1.8,1.2.17-openssl-1.0.2,need,server-2048,client-2048,-,new,false,small,9151,31,10376
tls-tomcat,1.8,1.2.17-openssl-1.0.2,need,server-2048,client-2048,-,reuse,false,-,41385,31,0
tls-tomcat,1.8,1.2.17-openssl-1.0.2,need,server-2048,client-2048,-,reuse,false,huge,11,62,95325218
tls-tomcat,1.8,1.2.17-openssl-1.0.2,need,server-2048,client-2048,-,reuse,false,large,6,60,8738249
tls-tomcat,1.8,1.2.17-openssl-1.0.2,need,server-2048,client-2048,-,reuse,false,medium,8,60,458871
tls-tomcat,1.8,1.2.17-openssl-1.0.2,need,server-2048,client-2048,-,reuse,false,small,3,60,6917
tls-tomcat,1.8,1.2.17-openssl-1.1.1,need,server,client,-,new,false,-,3290,31,0
tls-tomcat,1.8,1.2.17-openssl-1.1.1,need,server,client,-,new,false,huge,184,31,104857740
tls-tomcat,1.8,1.2.17-openssl-1.1.1,need,server,client,-,new,false,large,1206,31,10485899
tls-tomcat,1.8,1.2.17-openssl-1.1.1,need,server,client,-,new,false,medium,2937,31,524425
tls-tomcat,1.8,1.2.17-openssl-1.1.1,need,server,client,-,new,false,small,3055,31,10376
tls-tomcat,1.8,1.2.17-openssl-1.1.1,need,server,client,-,reuse,false,-,16375,32,0
tls-tomcat,1.8,1.2.17-openssl-1.1.1,need,server,client,-,reuse,false,huge,1,60,0
tls-tomcat,1.8,1.2.17-openssl-1.1.1,need,server,client,-,reuse,false,large,1,60,0
tls-tomcat,1.8,1.2.17-openssl-1.1.1,need,server,client,-,reuse,false,medium,3,60,349616
tls-tomcat,1.8,1.2.17-openssl-1.1.1,need,server,client,-,reuse,false,small,2,60,5188
tls-tomcat,1.8,1.2.17-openssl-1.1.1,need,server,client-2048,-,new,false,-,5147,31,0
tls-tomcat,1.8,1.2.17-openssl-1.1.1,need,server,client-2048,-,new,false,huge,187,31,104857740
tls-tomcat,1.8,1.2.17-openssl-1.1.1,need,server,client-2048,-,new,false,large,1383,31,10485899
tls-tomcat,1.8,1.2.17-openssl-1.1.1,need,server,client-2048,-,new,false,medium,4340,31,524425
tls-tomcat,1.8,1.2.17-openssl-1.1.1,need,server,client-2048,-,new,false,small,4700,31,10376
tls-tomcat,1.8,1.2.17-openssl-1.1.1,need,server,client-2048,-,reuse,false,-,16378,32,0
tls-tomcat,1.8,1.2.17-openssl-1.1.1,need,server,client-2048,-,reuse,false,huge,3,60,69905160
tls-tomcat,1.8,1.2.17-openssl-1.1.1,need,server,client-2048,-,reuse,false,large,4,61,7864424
tls-tomcat,1.8,1.2.17-openssl-1.1.1,need,server,client-2048,-,reuse,false,medium,3,60,349616
tls-tomcat,1.8,1.2.17-openssl-1.1.1,need,server,client-2048,-,reuse,false,small,2,60,5188
tls-tomcat,1.8,1.2.17-openssl-1.1.1,need,server-2048,client,-,new,false,-,5147,31,0
tls-tomcat,1.8,1.2.17-openssl-1.1.1,need,server-2048,client,-,new,false,huge,188,31,104857740
tls-tomcat,1.8,1.2.17-openssl-1.1.1,need,server-2048,client,-,new,false,large,1396,31,10485899
tls-tomcat,1.8,1.2.17-openssl-1.1.1,need,server-2048,client,-,new,false,medium,4319,31,524425
tls-tomcat,1.8,1.2.17-openssl-1.1.1,need,server-2048,client,-,new,false,small,4682,31,10376
tls-tomcat,1.8,1.2.17-openssl-1.1.1,need,server-2048,client,-,reuse,false,-,16378,32,0
