server,jreVersion,tcNativeVersion,clientAuth,serverCert,clientCert,cipher,resumption,enabledExtendedMasterSecret,openSSLClientVersion,page,connections/duration,duration,bytes/connection
tls-tomcat,1.8,-,need,server,client,-,new,true,1.0.2p,-,1085,31,0
tls-tomcat,1.8,-,need,server,client,-,new,true,1.0.2p,huge,16,31,104857740
tls-tomcat,1.8,-,need,server,client,-,new,true,1.0.2p,large,141,31,10485899
tls-tomcat,1.8,-,need,server,client,-,new,true,1.0.2p,medium,805,31,524425
tls-tomcat,1.8,-,need,server,client,-,new,true,1.0.2p,small,1078,31,10376
tls-tomcat,1.8,-,need,server,client,-,new,true,1.1.1,-,1030,31,0
tls-tomcat,1.8,-,need,server,client,-,new,true,1.1.1,huge,16,31,104857740
tls-tomcat,1.8,-,need,server,client,-,new,true,1.1.1,large,139,31,10485899
tls-tomcat,1.8,-,need,server,client,-,new,true,1.1.1,medium,790,31,524425
tls-tomcat,1.8,-,need,server,client,-,new,true,1.1.1,small,1033,31,10376
tls-tomcat,1.8,-,need,server,client,-,reuse,true,1.0.2p,-,1084,31,0
tls-tomcat,1.8,-,need,server,client,-,reuse,true,1.0.2p,huge,16,31,104857740
tls-tomcat,1.8,-,need,server,client,-,reuse,true,1.0.2p,large,139,31,10485899
tls-tomcat,1.8,-,need,server,client,-,reuse,true,1.0.2p,medium,814,31,524425
tls-tomcat,1.8,-,need,server,client,-,reuse,true,1.0.2p,small,1077,31,10376
tls-tomcat,1.8,-,need,server,client,-,reuse,true,1.1.1,-,31928,31,0
tls-tomcat,1.8,-,need,server,client,-,reuse,true,1.1.1,huge,17,32,104857740
tls-tomcat,1.8,-,need,server,client,-,reuse,true,1.1.1,large,159,31,10485899
tls-tomcat,1.8,-,need,server,client,-,reuse,true,1.1.1,medium,2787,31,524425
tls-tomcat,1.8,-,need,server,client,-,reuse,true,1.1.1,small,17880,31,10376
tls-tomcat,1.8,-,need,server,client-2048,-,new,true,1.0.2p,-,1261,31,0
tls-tomcat,1.8,-,need,server,client-2048,-,new,true,1.0.2p,huge,16,31,104857740
tls-tomcat,1.8,-,need,server,client-2048,-,new,true,1.0.2p,large,143,31,10485899
tls-tomcat,1.8,-,need,server,client-2048,-,new,true,1.0.2p,medium,890,31,524425
tls-tomcat,1.8,-,need,server,client-2048,-,new,true,1.0.2p,small,1219,31,10376
tls-tomcat,1.8,-,need,server,client-2048,-,new,true,1.1.1,-,1187,31,0
tls-tomcat,1.8,-,need,server,client-2048,-,new,true,1.1.1,huge,16,31,104857740
tls-tomcat,1.8,-,need,server,client-2048,-,new,true,1.1.1,large,142,31,10485899
tls-tomcat,1.8,-,need,server,client-2048,-,new,true,1.1.1,medium,874,31,524425
tls-tomcat,1.8,-,need,server,client-2048,-,new,true,1.1.1,small,1174,31,10376
tls-tomcat,1.8,-,need,server,client-2048,-,reuse,true,1.0.2p,-,1221,31,0
tls-tomcat,1.8,-,need,server,client-2048,-,reuse,true,1.0.2p,huge,16,31,104857740
tls-tomcat,1.8,-,need,server,client-2048,-,reuse,true,1.0.2p,large,142,31,10485899
tls-tomcat,1.8,-,need,server,client-2048,-,reuse,true,1.0.2p,medium,888,31,524425
tls-tomcat,1.8,-,need,server,client-2048,-,reuse,true,1.0.2p,small,1228,31,10376
tls-tomcat,1.8,-,need,server,client-2048,-,reuse,true,1.1.1,-,17986,31,0
tls-tomcat,1.8,-,need,server,client-2048,-,reuse,true,1.1.1,huge,16,31,104857740
tls-tomcat,1.8,-,need,server,client-2048,-,reuse,true,1.1.1,large,160,31,10485899
tls-tomcat,1.8,-,need,server,client-2048,-,reuse,true,1.1.1,medium,2815,31,524425
tls-tomcat,1.8,-,need,server,client-2048,-,reuse,true,1.1.1,small,17872,31,10376
tls-tomcat,1.8,-,need,server-2048,client,-,new,true,1.0.2p,-,2916,31,0
tls-tomcat,1.8,-,need,server-2048,client,-,new,true,1.0.2p,huge,17,32,104857740
tls-tomcat,1.8,-,need,server-2048,client,-,new,true,1.0.2p,large,153,31,10485899
tls-tomcat,1.8,-,need,server-2048,client,-,new,true,1.0.2p,medium,1509,31,524425
tls-tomcat,1.8,-,need,server-2048,client,-,new,true,1.0.2p,small,2772,31,10376
tls-tomcat,1.8,-,need,server-2048,client,-,new,true,1.1.1,-,2709,31,0
tls-tomcat,1.8,-,need,server-2048,client,-,new,true,1.1.1,huge,17,32,104857740
tls-tomcat,1.8,-,need,server-2048,client,-,new,true,1.1.1,large,153,31,10485899
tls-tomcat,1.8,-,need,server-2048,client,-,new,true,1.1.1,medium,1468,31,524425
tls-tomcat,1.8,-,need,server-2048,client,-,new,true,1.1.1,small,2586,31,10376
tls-tomcat,1.8,-,need,server-2048,client,-,reuse,true,1.0.2p,-,2862,31,0
tls-tomcat,1.8,-,need,server-2048,client,-,reuse,true,1.0.2p,huge,16,31,104857740
tls-tomcat,1.8,-,need,server-2048,client,-,reuse,true,1.0.2p,large,152,31,10485899
tls-tomcat,1.8,-,need,server-2048,client,-,reuse,true,1.0.2p,medium,1499,31,524425
tls-tomcat,1.8,-,need,server-2048,client,-,reuse,true,1.0.2p,small,2786,31,10376
tls-tomcat,1.8,-,need,server-2048,client,-,reuse,true,1.1.1,-,32489,31,0
tls-tomcat,1.8,-,need,server-2048,client,-,reuse,true,1.1.1,huge,17,32,104857740
tls-tomcat,1.8,-,need,server-2048,client,-,reuse,true,1.1.1,large,160,31,10485899
